model,model_type,item_id,task,layer,route_family,subspace_dim,budget_mode,eps,rho,rank,entropy,varentropy,confidence,margin,jacobian_norm,projected_gradient_norm,fisher_output_energy,unit_fisher_output_energy,applied_fisher_energy,uncertainty_movement,varentropy_movement,delta_entropy,drift,top1_preserved,topk_jaccard,safe_movement,base_confidence,max_uncertainty_movement,max_safe_movement,safe_movement_target,minimal_energy,minimal_eps
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,state_pca,2,same_fisher_output_energy,0.01,0.5650179454940589,2,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.008668297031877001,1.0,0.0001,0.008687603560297075,0.01934951432031662,0.008687603560297075,1.441947770925426e-05,1,1.0,0,0.46125296182639597,0.23560906106032675,0.02018145471823496,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,state_pca,4,same_epsilon,0.01,0.984780677618524,4,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.006934235314959516,0.006934235314959516,6.934235314959517e-07,0.0012697244517099193,0.0026080547249032193,0.0012697244517099193,2.764639307149526e-07,1,1.0,0,0.46125296182639597,0.010056589712722941,0.010056589712722941,1,0.0002773694125983807,0.2
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,state_pca,4,same_fisher_output_energy,0.01,0.984780677618524,4,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.006934235314959516,1.0,0.0001,0.006544031943573225,0.018434105262743916,0.006544031943573225,1.3916922347930908e-05,1,1.0,0,0.46125296182639597,0.2036313057932333,0.015918949449073516,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,delta_pca,1,same_epsilon,0.01,0.45391814318593937,1,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.001258791961960803,0.001258791961960803,1.2587919619608033e-07,6.165913672018242e-05,0.00016453274864991485,6.165913672018242e-05,7.241800109931875e-09,1,1.0,0,0.46125296182639597,0.0050836695692855205,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,delta_pca,1,same_fisher_output_energy,0.01,0.45391814318593937,1,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.001258791961960803,1.0,0.0001,0.007816939786088273,4.359198384751295e-05,0.007816939786088273,1.671951790758497e-05,1,1.0,0,0.46125296182639597,0.21178432943838288,0.016161571031396038,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,delta_pca,2,same_epsilon,0.01,0.9102856214345604,2,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.004369794951127785,0.004369794951127785,4.3697949511277853e-07,7.468732610627082e-05,0.0002343117345745549,7.468732610627082e-05,6.85309015360749e-09,1,1.0,0,0.46125296182639597,0.011236457481416773,0.011236457481416773,1,0.00017479179804511143,0.2
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,delta_pca,2,same_fisher_output_energy,0.01,0.9102856214345604,2,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.004369794951127785,1.0,0.0001,0.007906169908660443,0.0021256637260218536,0.007906169908660443,1.2475238109426405e-05,1,1.0,0,0.46125296182639597,0.19993201211923872,0.020986517481553058,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,delta_pca,4,same_epsilon,0.01,0.9621857361292644,4,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.0009286988443309032,0.0009286988443309032,9.286988443309031e-08,6.161755088940346e-06,4.324545206713104e-05,6.161755088940346e-06,1.4931833748505142e-09,1,1.0,0,0.46125296182639597,0.0041706640258974415,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,delta_pca,4,same_fisher_output_energy,0.01,0.9621857361292644,4,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.0009286988443309032,1.0,0.0001,0.006826348115429037,0.00115476989983343,0.006826348115429037,1.318202083336454e-05,1,1.0,0,0.46125296182639597,0.2646419110226259,0.0169675146845486,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,random,1,same_epsilon,0.01,0.22260099751664825,1,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.0009470147339627723,0.0009470147339627723,9.470147339627723e-08,0.0003508004178370272,0.00025797122980808496,-0.0003508004178370272,5.484914174331604e-08,1,1.0,0,0.46125296182639597,0.002867868672871199,0.0,0,,
