subspace,k,layer,observed_condition,n,rho_structured_mean,rho_random_mean,rho_adjusted_mean,rho_adjusted_median,rho_adjusted_z_mean,trace_fim_structured_mean
state_pca,8,1,error,137,0.4249712739707768,0.4202286511182471,0.004742622852529716,-0.0010028977122158445,0.07647832520532565,0.4661511880884992
state_pca,8,2,correct,183,0.5852839010990925,0.5273241424783116,0.05795975862078086,0.05691202981387905,0.5110517543347232,0.37079564241197427
state_pca,8,2,error,137,0.5351467061020747,0.4786829857005064,0.05646372040156831,0.050479922336617244,0.5018658747232543,0.3138753442194457
state_pca,8,3,correct,183,0.5435078761981958,0.5220638950636339,0.021443981134561887,0.0017813546100124977,0.19021743389637052,0.30857263267861934
state_pca,8,3,error,137,0.554971363028128,0.5107853851674012,0.04418597786072671,0.06745259052115271,0.44839197128948216,0.23344843327404072
state_pca,8,4,correct,183,0.5050791919524671,0.4513507852100249,0.053728406742442114,0.05142852358249733,0.45782470279194143,0.1391126701207127
state_pca,8,4,error,137,0.548961102241867,0.49437243811941195,0.05458866412245501,0.07466931880054795,0.47829877721659264,0.15575758704816783
state_pca,8,5,correct,183,0.7161213967512929,0.6674449832476624,0.048676413503630424,0.06282423884045407,0.45864415250269186,0.0982350372229314
state_pca,8,5,error,137,0.5402633444484997,0.5213695934006123,0.018893751047887476,0.04218387620468783,0.1682455618413984,0.1470194612972645
state_pca,8,6,correct,183,0.7982228599160334,0.8121010409944379,-0.013878181078404692,0.00015447500239029743,-0.23136512095287667,0.2285000649683386
state_pca,8,6,error,137,0.5854687094822855,0.5803006765065568,0.00516803297572872,0.013145945841019802,0.01923856171543152,0.5458872727197297
state_pca,16,0,correct,183,0.662448893331689,0.6818416940949354,-0.019392800763246374,-0.07754036196539005,-0.1998123536213495,1.3986458860184265
state_pca,16,0,error,137,0.686727450332952,0.683053494395986,0.003673955936966096,0.0038553121574782523,0.02261356983307887,1.3444278563547125
state_pca,16,1,correct,183,0.7656305948403076,0.7088718191257776,0.056758775714530016,0.05803703999603138,0.8342933923281985,0.9725168181085261
state_pca,16,1,error,137,0.6929226396907541,0.67642435605394,0.016498283636814156,0.030615705474888677,0.20860066745557643,0.8822408323726705
state_pca,16,2,correct,183,0.8123839380937231,0.7594499778434951,0.052933960250228035,0.05454566607915812,0.7061314958740087,0.6565171791856046
state_pca,16,2,error,137,0.7589275107051383,0.715860811383112,0.04306669932202631,0.05037665373128197,0.5707633991416046,0.584861332914609
state_pca,16,3,correct,183,0.7778376784177898,0.7435219121374482,0.03431576628034155,0.03412334926469407,0.5386017188392533,0.4937820612754128
state_pca,16,3,error,137,0.7522845076325161,0.7402175797264924,0.012066927906023714,0.03472543165401487,0.32864943519311257,0.4194792823848391
state_pca,16,4,correct,183,0.7282648644233818,0.7024584731964619,0.02580639122691984,0.026225109324490514,0.16487405448605733,0.24812006224878252
state_pca,16,4,error,137,0.76282436028588,0.7239277747080102,0.038896585577869805,0.043794930997173576,0.41055214576264404,0.2855763289713603
state_pca,16,5,correct,183,0.8874416409756735,0.8560022980088848,0.03143934296678875,0.0319393904736236,0.6220954531006985,0.20650143634718496
state_pca,16,5,error,137,0.7913249114224561,0.7614948305136953,0.029830080908760905,0.029448861181122776,0.3623109092207783,0.28677029685407224
state_pca,16,6,correct,183,0.9321366257354821,0.9348336272490836,-0.002697001513601501,-0.0004210375407912581,-0.31446048222816797,0.4392064076876473
state_pca,16,6,error,137,0.8262746434311002,0.8048803151671968,0.021394328263903414,0.016458607150585336,0.21407269695135422,1.0316668226420216
state_pca,32,0,correct,183,0.9999999999999999,0.9999999999999997,1.4681637811982943e-16,3.3306690738754696e-16,0.00014637024125458225,3.0810334767732748
state_pca,32,0,error,137,0.9999999999999998,0.9999999999999996,2.6256369341500055e-16,3.3306690738754696e-16,0.0002613166825038951,2.9629945532488007
state_pca,32,1,correct,183,0.9999999999999988,0.9999999999999991,-3.8766803974616123e-16,1.1102230246251565e-16,-0.000390390295626055,1.8103748054321862
state_pca,32,1,error,137,0.9999999999999969,0.9999999999999857,1.1370466612055162e-14,3.3306690738754696e-16,8.629937356327834e-05,1.6640827272062784
state_pca,32,2,correct,183,0.9999999999999986,0.9999999999999984,1.4742305736825848e-16,3.3306690738754696e-16,0.00012516775406521866,1.2037672894468716
state_pca,32,2,error,137,0.999999999999994,0.9999999999999917,2.146701308198569e-15,3.3306690738754696e-16,-0.0023293121974040892,1.096876353128073
state_pca,32,3,correct,183,0.9999999999999978,0.9999999999999964,1.3565347994873498e-15,1.1102230246251565e-16,0.0007488176795823941,0.8896713434645037
state_pca,32,3,error,137,0.9999999999999986,0.9999999999999988,-2.447352944794141e-16,3.3306690738754696e-16,-0.00025145546871494656,0.7911251044417698
state_pca,32,4,correct,183,0.9999999999999969,0.9999999999999986,-1.6525942727207248e-15,3.3306690738754696e-16,-0.0016521021853767004,0.45041819017910717
state_pca,32,4,error,137,0.9999999999999986,0.9999999999999959,2.6118604440634155e-15,3.3306690738754696e-16,0.0017597588113335337,0.5234374314385284
state_pca,32,5,correct,183,0.9999999999999978,0.9999999999999957,2.3023477477882344e-15,3.3306690738754696e-16,0.0005498582248236168,0.4210883316812379
state_pca,32,5,error,137,0.9999999999999992,0.9999999999999977,1.5842963599577963e-15,3.3306690738754696e-16,0.0013886190941408687,0.5531971955829859
state_pca,32,6,correct,183,0.9999999999999906,0.99999999999996,3.0512932799738934e-14,3.3306690738754696e-16,-0.0006214370445511237,0.872404640310139
state_pca,32,6,error,137,0.999999999999999,0.999999999999994,4.929552305689655e-15,1.1102230246251565e-16,0.003554345764537603,2.0133410445429427
