architecture,split,subspace,k,layer,n,rho_structured_mean,rho_random_mean,rho_adjusted_mean,saturation_rate
transformer,digits_even_vs_odd,state_pca,8,1,90,0.9999999999999996,0.9999999999999997,-1.0238723449320889e-16,1.0
transformer,digits_even_vs_odd,state_pca,8,2,90,0.9999999999999997,0.9999999999999997,-1.1719020815487764e-16,1.0
transformer,digits_even_vs_odd,state_pca,8,3,90,0.9999999999999997,0.9999999999999997,1.4802973661668754e-17,1.0
transformer,digits_low_vs_high,delta_forward_1d,1,0,90,0.3711048576076932,0.38004609176355214,-0.00894123415585897,0.0
transformer,digits_low_vs_high,delta_forward_1d,1,1,90,0.34992235983933906,0.3637108990336603,-0.013788539194321232,0.0
transformer,digits_low_vs_high,delta_forward_1d,1,2,90,0.3741118584995724,0.35676775139386124,0.017344107105711173,0.0
transformer,digits_low_vs_high,state_pca,1,0,90,0.3911150463263508,0.38004609176355214,0.011068954562798702,0.0
transformer,digits_low_vs_high,state_pca,1,1,90,0.3915395529636038,0.3637108990336603,0.02782865392994346,0.0
transformer,digits_low_vs_high,state_pca,1,2,90,0.3445336251468188,0.35676775139386124,-0.012234126247042485,0.0
transformer,digits_low_vs_high,state_pca,1,3,90,0.30742381772487465,0.35224985062396275,-0.0448260328990881,0.0
transformer,digits_low_vs_high,state_pca,2,0,90,0.5873641214929125,0.5836980758248215,0.0036660456680910375,0.0
transformer,digits_low_vs_high,state_pca,2,1,90,0.5749901563992584,0.5844449267472122,-0.009454770347953681,0.0
transformer,digits_low_vs_high,state_pca,2,2,90,0.5533699333577125,0.6059806293714629,-0.052610696013750465,0.0
transformer,digits_low_vs_high,state_pca,2,3,90,0.5101130696974466,0.5836646155227749,-0.07355154582532826,0.0
transformer,digits_low_vs_high,state_pca,4,0,90,0.9999999999999798,0.999999997728371,2.271608804763995e-09,1.0
transformer,digits_low_vs_high,state_pca,4,1,90,0.999999999999926,0.9999999999979065,2.019590667540822e-12,1.0
transformer,digits_low_vs_high,state_pca,4,2,90,0.9999999999998399,0.9999999999998934,-5.358676465524089e-14,1.0
transformer,digits_low_vs_high,state_pca,4,3,90,0.9999999999999992,0.9999999999998482,1.5095332391486713e-13,1.0
transformer,digits_low_vs_high,state_pca,8,0,90,0.9999999999999996,0.9999999999999996,1.2335811384723962e-18,1.0
