metric,group,method,eps,coverage,ci_low,median,ci_high
confidence_delta,correct_low,accessible_rho,0.2,,-0.002572921047221033,-0.0015555720489392189,-0.0003487205837564078
confidence_delta,correct_low,accessible_rho,0.4,,-0.005655105712484634,-0.0032736438842073667,-0.0007896754632237543
confidence_delta,correct_low,accessible_rho,0.8,,-0.010868839958631818,-0.006341068006373934,-0.0013202209029052011
confidence_delta,correct_low,low_rho,0.025,,-0.0004111148758036018,-0.00019309145504797787,-6.471898721035229e-07
confidence_delta,correct_low,low_rho,0.05,,-0.0004940088486046476,-0.00016563940251818066,0.00014141597483755962
confidence_delta,correct_low,low_rho,0.1,,-0.0008096382633441923,-0.00032579970269322467,0.0002783115388519778
confidence_delta,correct_low,low_rho,0.2,,-0.001635637543556534,-0.0008090436868416484,0.00024840784101187215
confidence_delta,correct_low,low_rho,0.4,,-0.003682510233186455,-0.0018851694331806224,6.5050420780699445e-06
confidence_delta,correct_low,low_rho,0.8,,-0.007109829492441063,-0.0035699280298891467,1.600833511081828e-05
confidence_delta,correct_low,projected_gradient,0.025,,-0.01227154551474668,-0.006656120459443887,0.0001723760239264039
confidence_delta,correct_low,projected_gradient,0.05,,-0.02322355780449837,-0.012579539881959617,0.0012684603228830687
confidence_delta,correct_low,projected_gradient,0.1,,-0.038357109695571365,-0.019658715559845885,0.007131364453623684
confidence_delta,correct_low,projected_gradient,0.2,,-0.021766029566636848,0.008632919751312085,0.04201562717406916
confidence_delta,correct_low,projected_gradient,0.4,,0.043142782851152986,0.08008708844890022,0.12069812047720291
confidence_delta,correct_low,projected_gradient,0.8,,0.12170494500834003,0.16299924219869255,0.20908907490926942
confidence_delta,correct_low,random_activation,0.025,,-0.00014144835719987479,8.039814602567308e-05,0.0003200327163317029
confidence_delta,correct_low,random_activation,0.05,,-0.00022721470552642675,0.00017866530161170235,0.000538145661406718
confidence_delta,correct_low,random_activation,0.1,,-0.0005533727868615543,0.0003526098096197916,0.001024051154120309
confidence_delta,correct_low,random_activation,0.2,,-0.0011459843816026966,0.0005147834688742914,0.0017575114762974982
confidence_delta,correct_low,random_activation,0.4,,-0.001599352628390846,0.0013316992762051894,0.003893031844644803
confidence_delta,correct_low,random_activation,0.8,,-0.0016388515655820222,0.0035679912756782506,0.008932104949183691
confidence_delta,correct_low,standard_delta_pca,0.025,,-6.177946754142569e-05,0.00014454198185959166,0.00036227500657125684
confidence_delta,correct_low,standard_delta_pca,0.05,,0.00012459433267648923,0.00034360237739036736,0.0006086768117907261
confidence_delta,correct_low,standard_delta_pca,0.1,,0.0002821666408199655,0.0007349289817966675,0.0010711313349409959
confidence_delta,correct_low,standard_delta_pca,0.2,,0.0010901555884486381,0.0016491284018363417,0.002150062504799738
confidence_delta,correct_low,standard_delta_pca,0.4,,0.0020105383338924754,0.0031734461266799963,0.0041090590737132586
confidence_delta,correct_low,standard_delta_pca,0.8,,0.004377963534802673,0.00629998645091337,0.00789654199191627
confidence_delta,correct_low,temperature_1.25,0.0,,-0.04869910819648951,-0.04411259312384974,-0.04033181698989717
confidence_delta,correct_low,temperature_1.5,0.0,,-0.08326777981343098,-0.07558649507869242,-0.06901456910429771
confidence_delta,correct_low,temperature_2,0.0,,-0.12931892639767711,-0.11712520069937538,-0.10692913430129887
confidence_delta,correct_low,wrong_logit_gradient_normed,0.025,,-0.010686453882611986,-0.009869629422780662,-0.008815134191052882
confidence_delta,correct_low,wrong_logit_gradient_normed,0.05,,-0.021421753756178757,-0.019219322123914917,-0.016147622242455098
confidence_delta,correct_low,wrong_logit_gradient_normed,0.1,,-0.03995686787932576,-0.03509050954454007,-0.028886463840456608
confidence_delta,correct_low,wrong_logit_gradient_normed,0.2,,-0.07161316399193127,-0.05899497000933557,-0.045464022894798825
