model,prompt_id,task,topic,observed_condition,layer,subspace_family,k,rep,rank_whitened_jb,rho,v_access,v_inaccess,entropy_before,varentropy_before,semantic_entropy_proxy_before,trace_fim,grad_norm_sq,logit_norm,strict_orth_ls_norm,accessible_ls_norm
bert-base-uncased,7,factual_deep,continent,error,4,random,4,1,4,0.4741174502373702,0.10435444148701029,0.11574806989443014,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.036132666640082335,0.0005979675308591451,19.927366325079635,1.4905545222651586e-15,6.684810144097337
bert-base-uncased,7,factual_deep,continent,error,4,state_pca,8,0,8,0.5694463810457435,0.12533657856524083,0.09476593281619962,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.11837091370139227,0.0014621740402148702,19.927366325079635,3.1990031810700057e-15,8.55109158869616
bert-base-uncased,7,factual_deep,continent,error,4,delta_pca,8,0,8,0.9768018859081534,0.2149965482105118,0.005105963170928908,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.08396388922955778,0.002101413894191682,19.927366325079635,1.4081088013070661e-14,9.463033735643318
bert-base-uncased,7,factual_deep,continent,error,4,random,8,0,8,0.9375429137768153,0.2063555498501503,0.013746961531290142,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.10240826567564008,0.004023266879202744,19.927366325079635,4.214782630342754e-15,9.512766244681787
bert-base-uncased,7,factual_deep,continent,error,4,random,8,1,8,0.8130571579282324,0.17895592235666039,0.04114658902477975,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.07178780406016663,0.002725952487964899,19.927366325079635,7.716848701410009e-15,6.562780691563355
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,state_pca,1,0,1,0.31239474134660095,0.1894698313742854,0.4170379176280234,2.1542564468352574,0.6065077490023086,1.304787272049328,0.01309070837816335,0.0024802943089805587,25.206899716010838,3.608224830031759e-16,3.804420035866154
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,delta_pca,1,0,1,0.10328920536714205,0.06264570344346251,0.5438620455588462,2.1542564468352574,0.6065077490023086,1.304787272049328,0.006295944475817327,0.0003944138705285586,25.206899716010838,1.3877787807814457e-16,3.154388643236303
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,random,1,0,1,0.0454825438957235,0.02758551531709396,0.5789222336852149,2.1542564468352574,0.6065077490023086,1.304787272049328,0.01158694439676291,0.00031963183213521915,25.206899716010838,4.440892098500626e-16,1.5429650511424688
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,random,1,1,1,0.0202780007671579,0.012298764599556028,0.5942089844027526,2.1542564468352574,0.6065077490023086,1.304787272049328,0.006317701733232364,7.769992642723204e-05,25.206899716010838,6.661338147750939e-16,1.395247282532542
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,state_pca,4,0,4,0.6254922831798243,0.3793659166897099,0.2271418323125981,2.1542564468352574,0.6065077490023086,1.304787272049328,0.10528709491136755,0.006273373723274653,25.206899716010838,5.340045798359333e-15,5.422795165538416
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,delta_pca,4,0,4,0.44266216007461845,0.2684780302753565,0.33802971872695226,2.1542564468352574,0.6065077490023086,1.304787272049328,0.09291539802276663,0.004050917513960703,25.206899716010838,3.022173087078572e-15,7.182513019658103
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,random,4,0,4,0.13827098934991705,0.0838624265029404,0.5226453224993683,2.1542564468352574,0.6065077490023086,1.304787272049328,0.041473601712198285,0.0007657991653605019,25.206899716010838,3.3205924347329652e-15,3.2391523443573753
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,random,4,1,4,0.7676721136388164,0.4655990856149231,0.14090866338738606,2.1542564468352574,0.6065077490023086,1.304787272049328,0.08408918310772102,0.0111672544384905,25.206899716010838,2.571550710572905e-15,4.546515835199907
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,state_pca,8,0,8,0.9411114471830697,0.5707913853913088,0.035716363610999,2.1542564468352574,0.6065077490023086,1.304787272049328,0.16852490657468322,0.01241652790272742,25.206899716010838,1.5075653666433284e-14,16.013948409398626
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,delta_pca,8,0,8,0.8361823934206479,0.5071511011889202,0.09935664781338825,2.1542564468352574,0.6065077490023086,1.304787272049328,0.1450500200966277,0.01259601029481603,25.206899716010838,3.552713678800501e-15,10.503608330366797
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,random,8,0,8,0.800361176269541,0.48542525540807935,0.12108249359422879,2.1542564468352574,0.6065077490023086,1.304787272049328,0.12516305662530483,0.012964028685786146,25.206899716010838,5.0034766074301574e-15,7.999331187141401
