model,prompt_id,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,top_k_output,rank_whitened_jb,rho,v_access,v_inaccess,entropy,varentropy,confidence,margin,trace_fim,jacobian_fro_norm,fisher_output_fro_norm,grad_entropy_proj_norm,grad_varentropy_proj_norm,logit_norm
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,random,8,0,256,8,0.0832699567796244,0.0483481647554249,0.5322713843020981,5.312329396743146,0.5806195490575216,0.0320333039229072,0.0432567596435546,0.2472586559765381,8.602114488494323,0.497251099522704,0.0375741541236411,0.117367681061933,93.12355301104924
distilbert-base-uncased,4,factual_deep,role,error,2,state_pca,8,0,16,8,0.7235002995995684,0.3072097651108506,0.1174061822230763,2.562530276844765,0.4246159473339272,0.1855025791333302,0.3905601501464844,0.2139633034416197,2.4768868342507737,0.4625616752840854,0.155658622027799,0.3334766307189587,28.56403201369105
distilbert-base-uncased,4,factual_deep,role,error,2,delta_pca,8,0,16,8,0.7684616583354702,0.3263010750439161,0.0983148722900111,2.562530276844765,0.4246159473339272,0.1855025791333302,0.3905601501464844,0.2102982487882769,2.5951646375542,0.4585828701426568,0.1209723875767991,0.2456429378471092,28.56403201369105
distilbert-base-uncased,4,factual_deep,role,error,2,random,8,0,16,8,0.8913637297854782,0.3784872545419632,0.0461286927919631,2.562530276844765,0.4246159473339272,0.1855025791333302,0.3905601501464844,0.1685166755449659,2.325912973345455,0.4105078264113438,0.0897710343494952,0.165948250450435,28.56403201369105
distilbert-base-uncased,4,factual_deep,role,error,2,state_pca,8,0,32,8,0.694962533824978,0.393812061183168,0.1728545460304341,3.216480664942154,0.5666666072136012,0.1328112852181749,0.3905601501464844,0.2419192811513736,3.44192549622351,0.4918529060109065,0.1625926071748771,0.4007651217684235,38.308844287609936
distilbert-base-uncased,4,factual_deep,role,error,2,delta_pca,8,0,32,8,0.6277653880446279,0.3557336825693793,0.2109329246442223,3.216480664942154,0.5666666072136012,0.1328112852181749,0.3905601501464844,0.2645811624059947,3.923317098711693,0.5143745351453498,0.1271610703619411,0.2891492573359552,38.308844287609936
distilbert-base-uncased,4,factual_deep,role,error,2,random,8,0,32,8,0.5895509052773581,0.3340788112732278,0.232587795940374,3.216480664942154,0.5666666072136012,0.1328112852181749,0.3905601501464844,0.2208713157417995,3.257259643005189,0.469969483841025,0.1160180996482643,0.2518256535473437,38.308844287609936
distilbert-base-uncased,4,factual_deep,role,error,2,state_pca,8,0,64,8,0.589342083536405,0.4143751138343434,0.2887396397360187,3.874132703805828,0.7031147535703622,0.0960532088227998,0.3905601501464844,0.2465355332174589,4.579217134662033,0.4965234467952736,0.1731063367463736,0.471333323027653,51.14622330813896
distilbert-base-uncased,4,factual_deep,role,error,2,delta_pca,8,0,64,8,0.4263925943633056,0.2998029239099832,0.4033118296603805,3.874132703805828,0.7031147535703622,0.0960532088227998,0.3905601501464844,0.2705595150165446,5.617542594132341,0.520153357209722,0.1133593713563922,0.307828047413981,51.14622330813896
distilbert-base-uncased,4,factual_deep,role,error,2,random,8,0,64,8,0.4420627230128478,0.3108208225538219,0.3922939310165408,3.874132703805828,0.7031147535703622,0.0960532088227998,0.3905601501464844,0.2350910536346275,4.640953109108274,0.4848618912996024,0.1196631740057601,0.3077609116434857,51.14622330813896
distilbert-base-uncased,4,factual_deep,role,error,2,state_pca,8,0,128,8,0.5146750997428885,0.4064293844433986,0.3832520760477629,4.555691495229089,0.7896814604911618,0.0683228642116717,0.3905601501464844,0.2516174741577259,6.532070688778345,0.5016148663643512,0.1539224847853087,0.4816005271911494,68.41153158068812
distilbert-base-uncased,4,factual_deep,role,error,2,delta_pca,8,0,128,8,0.435468050415302,0.3438810460491946,0.4458004144419667,4.555691495229089,0.7896814604911618,0.0683228642116717,0.3905601501464844,0.3003779228927163,7.977265471644532,0.5480674437445782,0.1246460289732153,0.3643046162434134,68.41153158068812
distilbert-base-uncased,4,factual_deep,role,error,2,random,8,0,128,8,0.3283212563154657,0.2592692091974901,0.5304122512936722,4.555691495229089,0.7896814604911618,0.0683228642116717,0.3905601501464844,0.2544520790806995,6.561624546298509,0.5044324326217531,0.112122248575265,0.3342508386571262,68.41153158068812
distilbert-base-uncased,4,factual_deep,role,error,2,state_pca,8,0,256,8,0.4263336093838684,0.3833904517349554,0.5158828949970233,5.219891063378381,0.8992733467319821,0.0497192719161502,0.3905601501464844,0.2621598210510978,9.401434382177564,0.5120154500121045,0.1389264687627721,0.4793570215707431,90.55486740808398
distilbert-base-uncased,4,factual_deep,role,error,2,delta_pca,8,0,256,8,0.3058483548737045,0.275041273679746,0.6242320730522323,5.219891063378381,0.8992733467319821,0.0497192719161502,0.3905601501464844,0.3014765656161054,11.260057778901832,0.5490688168309191,0.1047148238648717,0.3566334358423099,90.55486740808398
