pair_id,corruption,low_flip_rate,high_flip_rate,low_minus_high_flip_rate,low_true_prob_drop,high_true_prob_drop,low_minus_high_true_prob_drop,low_entropy_increase,high_entropy_increase,low_minus_high_entropy_increase,low_robust_accuracy,high_robust_accuracy,high_minus_low_robust_accuracy
4,gaussian_noise,0.0,0.0,0.0,-0.011071475213841367,0.006560153141278484,-0.01763162835511985,-0.018006834627152617,0.00982470519479343,-0.02783153982194605,1.0,1.0,0.0
4,jpeg_compression,0.0,0.0,0.0,0.018886185535082034,-0.00484746512172779,0.023733650656809824,0.03007697305925087,-6.427255515680426e-05,0.030141245614407675,1.0,1.0,0.0
5,brightness,0.0,0.0,0.0,-0.023740869970075778,-0.06657822936060682,0.04283735939053104,-0.08674499491928638,-0.19465335535564707,0.10790836043636069,1.0,1.0,0.0
5,contrast,0.0,0.0,0.0,0.013765537821662418,0.10376402668582109,-0.08999848886415868,0.043102182804356216,0.24024428423052027,-0.19714210142616406,1.0,1.0,0.0
5,gaussian_noise,0.0,0.0,0.0,0.044511365047446315,0.020041937680249516,0.0244694273671968,0.13560050582067765,0.033662387085210264,0.10193811873546738,1.0,1.0,0.0
5,jpeg_compression,0.0,0.0,0.0,0.006424573053518808,0.012122189070641998,-0.00569761601712319,0.022573636815941118,0.022163549251501696,0.00041008756443942224,1.0,1.0,0.0
6,brightness,0.0,0.0,0.0,-0.10508167751246678,-0.13681415706716704,0.031732479554700266,-0.2583416673775902,-0.23417748462324894,-0.024164182754341235,1.0,1.0,0.0
6,contrast,0.0,0.3333333333333333,-0.3333333333333333,0.09103606186017794,-0.022997223967844094,0.11403328582802204,0.15412668182597797,-0.24396676879083454,0.3980934506168125,1.0,0.6666666666666666,-0.33333333333333337
6,gaussian_noise,0.0,0.0,0.0,0.030490520799207204,0.0015758593810455412,0.028914661418161663,0.060143547888567093,0.011522034938859985,0.04862151294970711,1.0,1.0,0.0
6,jpeg_compression,0.0,0.0,0.0,0.0038581763660005173,-0.0030751338056445774,0.006933310171645095,0.008865281772216571,0.019590049976747254,-0.010724768204530683,1.0,1.0,0.0
