split,fold,budget,policy,cluster_id,example_id,model,task,layer,route_family,subspace_dim,rho,entropy,varentropy,confidence,projected_gradient_norm,unit_fisher_output_energy,jacobian_norm,safe_movement,safe_varentropy_movement,abs_delta_entropy,abs_delta_varentropy,drift,top1_preserved,topk_jaccard,applied_fisher_energy,regret_vs_oracle
leave_one_route_family_out,random,0.3,rho_shuffled_within_gradient_bin,Qwen/Qwen2.5-0.5B::masked_factual_cloze::1,Qwen/Qwen2.5-0.5B::masked_factual_cloze::1::same_fisher_output_energy::0.01,Qwen/Qwen2.5-0.5B,masked_factual_cloze,18.0,random,1.0,0.1277778068068417,0.714124531016144,0.1431617035240243,0.5595456747134594,105.11278908919176,1.0,9.236054342067508,0.0,0.0,0.0019238096524668,0.0029639741508669,3.0004888092486127e-05,1.0,1.0,0.0001,0.2510288065843621
leave_one_route_family_out,state_pca,0.3,rho_shuffled_within_entropy_bin,distilgpt2::factual_error_prompt::9,distilgpt2::factual_error_prompt::9::same_fisher_output_energy::0.025,distilgpt2,factual_error_prompt,1.0,state_pca,2.0,0.3519031160608344,0.992549486813404,0.4731719598304869,0.5124864572115726,213.54797259180563,1.0,20.080435614891517,0.0,1.0,0.0008015430869913,0.0172918361062602,6.914900585897098e-05,1.0,1.0,0.000625,0.2962962962962963
leave_one_task_out,factual_error_prompt,0.3,highest_gradient_norm,distilgpt2::factual_error_prompt::11,distilgpt2::factual_error_prompt::11::same_fisher_output_energy::0.05,distilgpt2,factual_error_prompt,1.0,delta_pca,4.0,0.988655984254409,0.6802037684542526,0.9757293998802192,0.7886369223836172,207.8094898774384,1.0,18.874573331128214,0.0,0.0,0.0185591657003083,0.0489941544093116,0.0002975536341003,1.0,1.0,0.0025,0.2736625514403292
grouped_example_5fold,fold_2,0.2,highest_jacobian_norm,distilgpt2::masked_factual_cloze::1,distilgpt2::masked_factual_cloze::1::same_fisher_output_energy::0.1,distilgpt2,masked_factual_cloze,1.0,delta_pca,2.0,0.3543010551291466,0.96467171993966,0.992712166562622,0.6948265740246262,175.37406391129093,1.0,19.060130134912587,0.0,0.0,0.016209811394767,0.0050132790935857,0.0005675499362966,1.0,1.0,0.01,0.5390946502057613
leave_one_model_out,distilgpt2,0.1,rho_shuffled_within_fisher_bin,distilgpt2::decoder_qa_completion::15,distilgpt2::decoder_qa_completion::15::same_fisher_output_energy::0.2,distilgpt2,decoder_qa_completion,1.0,state_pca,1.0,0.3933541764736791,0.8162392896381732,0.7596070286585602,0.7045097822450156,196.8484106371469,1.0,18.746631767575728,0.0,0.0,0.0983337722114858,0.1725112754708339,0.0054407195761317,1.0,1.0,0.04,0.8930041152263375
grouped_example_5fold,fold_0,0.2,highest_gradient_norm,distilgpt2::factual_error_prompt::10,distilgpt2::factual_error_prompt::10::same_fisher_output_energy::0.1,distilgpt2,factual_error_prompt,4.0,state_pca,1.0,0.892593434598377,0.6688627416741508,1.3481211323439934,0.8336498478622029,92.95520933865708,1.0,9.804948084073866,0.0,0.0,0.117595688531231,0.0541023394679114,0.0014102404811623,1.0,1.0,0.01,0.3872053872053871
leave_one_route_family_out,state_pca,0.05,rho_only,Qwen/Qwen2.5-0.5B::decoder_qa_completion::15,Qwen/Qwen2.5-0.5B::decoder_qa_completion::15::same_fisher_output_energy::0.05,Qwen/Qwen2.5-0.5B,decoder_qa_completion,12.0,state_pca,4.0,0.9937085435819968,0.897064328116701,1.069587014300103,0.7388004910880727,136.99866342132793,1.0,16.346401801213034,0.0,0.0,0.0160020557708897,0.0031897407050713,0.0003302734601827,1.0,1.0,0.0025,0.8278688524590164
leave_one_task_out,masked_factual_cloze,0.2,rho_shuffled_within_varentropy_bin,microsoft/phi-2::masked_factual_cloze::1,microsoft/phi-2::masked_factual_cloze::1::same_fisher_output_energy::0.01,microsoft/phi-2,masked_factual_cloze,16.0,state_pca,2.0,0.7708184040805482,0.8774638504510359,0.552201857920671,0.6298066323492467,32.289818065295115,1.0,4.768471008358909,0.0,0.0,0.0051199766714276,0.005696080705461,9.606286058130094e-06,1.0,1.0,0.0001,0.404320987654321
leave_one_route_family_out,state_pca,0.1,oracle,microsoft/phi-2::decoder_qa_completion::15,microsoft/phi-2::decoder_qa_completion::15::same_fisher_output_energy::0.025,microsoft/phi-2,decoder_qa_completion,24.0,state_pca,1.0,0.741074757499774,0.7935490745875435,0.8749285752205597,0.7189678955751647,18.12224608518849,1.0,3.20020223903526,1.0,0.0,0.0191789386041598,0.0025720220127988,7.111061839730568e-05,1.0,1.0,0.000625,0.0
leave_one_task_out,factual_error_prompt,0.2,highest_entropy,distilgpt2::factual_error_prompt::10,distilgpt2::factual_error_prompt::10::same_fisher_output_energy::0.01,distilgpt2,factual_error_prompt,3.0,random,2.0,0.1882280908559782,1.993963493522789,0.1595520384984284,0.2175871035966007,6.607080774931868,1.0,13.389505737912817,0.0,0.0,0.0008861453943733,0.0015694042267796,7.508779882536354e-06,1.0,1.0,0.0001,0.6080246913580247
