split,budget,contrast,metric,policy,control,delta_policy_minus_control,ci_low,median,ci_high
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.18612580834803055,0.1719309497087275,0.01419485863930306,0.005508696723707905,0.01591141859027828,0.026392083204947295
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,18.782559018519827,17.683618656168257,1.0989403623515699,-0.16734933352911407,2.0977041352793746,4.347477100137858
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.4151728929506707,0.42936775158997376,-0.014194858639303032,-0.027857013034514662,-0.01566412825576151,-0.005359511035305006
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8954214098658543,0.8899481588370477,0.0054732510288065805,-0.006917489471615393,0.004987591514242828,0.0185362898885099
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.16455026455026456,0.1369461813906258,0.027604083159638748,0.01131897392248244,0.030343699403877863,0.0557140825066851
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,17.329840442933154,14.766112638318921,2.563727804614233,0.44942864664738413,2.4371545933584904,5.312743307999899
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.4367484367484368,0.46435251990807547,-0.027604083159638693,-0.05375159090019504,-0.030085582686837344,-0.01232586717913476
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.9202960825183049,0.9059451659451658,0.014350916573139028,-0.006907605652528931,0.010325792367710196,0.0332825067387206
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.16204906204906205,0.12801560579338359,0.03403345625567847,0.02034774839671966,0.035152389868414215,0.05160919815548564
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,movement_per_drift,18.668154530767627,18.152293311801987,0.5158612189656395,-10.349069685629473,-2.4210332650913777,6.2543599911847485
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.4392496392496392,0.47328309550531766,-0.03403345625567844,-0.05228400509953909,-0.03394136752910199,-0.019547535984269993
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.9322740633851744,0.9415082037304259,-0.009234140345251496,-0.025434894117565034,-0.00887061470345396,0.005018847586420136
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,safe_movement_rate,0.16204906204906205,0.12550905884239216,0.03654000320666989,0.017953209783256638,0.03626962418606643,0.05452438184683586
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,movement_per_drift,18.668154530767627,21.04980940003289,-2.3816548692652617,-12.237552636227154,-7.1646325453757616,3.168647638702919
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,regret_vs_oracle,0.4392496392496392,0.4757896424563091,-0.03654000320666989,-0.05533144769452383,-0.0353065867265436,-0.016330977433856537
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,topk_preservation,0.9322740633851744,0.9550756239645128,-0.022801560579338465,-0.04377120895311461,-0.02208899391718111,-0.0024915909750328853
grouped_example_5fold,0.2,rho_only_vs_random,safe_movement_rate,0.16204906204906205,0.11348939126716903,0.04855967078189302,0.025288357569382813,0.047519555769819324,0.07063813428447052
grouped_example_5fold,0.2,rho_only_vs_random,movement_per_drift,18.668154530767627,19.32065477635842,-0.6525002455907938,-9.196228172440954,-5.152714285860594,4.8767825459702365
grouped_example_5fold,0.2,rho_only_vs_random,regret_vs_oracle,0.4392496392496392,0.4878093100315323,-0.04855967078189305,-0.07107945564333744,-0.04824997907878509,-0.02351078220656984
grouped_example_5fold,0.2,rho_only_vs_random,topk_preservation,0.9322740633851744,0.9530361819250708,-0.0207621185398964,-0.04306892328842432,-0.018514392650666844,-0.000678850271020829
grouped_example_5fold,0.2,rho_only_vs_highest_entropy,safe_movement_rate,0.16204906204906205,0.06294692961359628,0.09910213243546577,0.07056622314235642,0.09748535901314925,0.1223833781071174
grouped_example_5fold,0.2,rho_only_vs_highest_entropy,movement_per_drift,18.668154530767627,18.134341960321777,0.5338125704458498,-11.10976554328067,-6.141622681238647,8.938154257880118
