split,budget,contrast,metric,policy,control,delta_policy_minus_control,p_value,bh_fdr_q_value
grouped_example_5fold,0.3,rho_only_vs_shuffled_rho,movement_per_drift,18.753109565837782,20.579369169898875,-1.826259604061093,0.002599480103979204,0.004872665634237169
grouped_example_5fold,0.3,rho_only_vs_shuffled_rho,regret_vs_oracle,0.23305294916368488,0.275415649488586,-0.04236270032490111,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,rho_only_vs_shuffled_rho,topk_preservation,0.93881387723962,0.9537837241323123,-0.014969846892692318,0.14297140571885622,0.17060990984826907
grouped_example_5fold,0.3,rho_only_vs_random,safe_movement_rate,0.16740424170978874,0.1196100038211552,0.04779423788863353,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,rho_only_vs_random,movement_per_drift,18.753109565837782,20.20793431455159,-1.4548247487138077,0.0003999200159968006,0.0009003224480731995
grouped_example_5fold,0.3,rho_only_vs_random,regret_vs_oracle,0.23305294916368488,0.2808471870523184,-0.047794237888633545,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,rho_only_vs_random,topk_preservation,0.93881387723962,0.9531073452093581,-0.014293467969738183,0.126374725054989,0.15511199130037007
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,safe_movement_rate,0.16740424170978874,0.07177720552538826,0.09562703618440048,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,movement_per_drift,18.753109565837782,19.41543826008145,-0.6623286942436692,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,regret_vs_oracle,0.23305294916368488,0.3286799853480854,-0.09562703618440052,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,topk_preservation,0.93881387723962,0.9740474993318123,-0.035233622092192385,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.16740424170978874,0.1289368835516224,0.03846735815816635,0.001799640071985603,0.0035517125649759916
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,movement_per_drift,18.753109565837782,22.138596447403263,-3.3854868815654804,0.08838232353529295,0.11122269928036865
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.23305294916368488,0.27152030732185123,-0.03846735815816635,0.0021995600879824036,0.0042111235872483626
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.93881387723962,0.9623316693377918,-0.02351779209817184,0.1875624875024995,0.21768910466611338
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.20218579234972678,0.1721311475409836,0.030054644808743175,0.02539492101579684,0.03817759937945297
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,19.506508250278973,18.369094368871423,1.13741388140755,0.001999600079984003,0.0038612967061760063
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.7978142076502732,0.8278688524590164,-0.030054644808743203,0.022595480903819236,0.034431208996295974
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8715846994535519,0.8707650273224044,0.0008196721311475308,0.027394521095780843,0.041045971407725146
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.17759562841530055,0.17759562841530055,0.0,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,20.938325657653596,16.99466952893422,3.9436561287193754,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.8224043715846995,0.8224043715846995,0.0,0.0003999200159968006,0.0009003224480731995
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.9275956284153005,0.9002732240437159,0.02732240437158462,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.16393442622950818,0.11748633879781421,0.04644808743169397,0.0005998800239952009,0.001317383582107108
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,movement_per_drift,19.970383311560816,17.863334465270096,2.10704884629072,0.0011997600479904018,0.0024769239700447006
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.8360655737704917,0.8825136612021858,-0.04644808743169404,0.0005998800239952009,0.001317383582107108
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.9333333333333332,0.9508196721311476,-0.01748633879781436,0.8982203559288142,0.9104133924346353
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,safe_movement_rate,0.16393442622950818,0.0901639344262295,0.07377049180327869,0.28274345130973805,0.3119927738590213
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,movement_per_drift,19.970383311560816,25.638172327657312,-5.667789016096496,0.0015996800639872025,0.0032281831921903907
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,regret_vs_oracle,0.8360655737704917,0.9098360655737704,-0.07377049180327866,0.26554689062187564,0.29446783910544627
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,topk_preservation,0.9333333333333332,0.9562841530054644,-0.022950819672131195,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.05,rho_only_vs_random,safe_movement_rate,0.16393442622950818,0.09562841530054644,0.06830601092896174,0.13717256548690263,0.16519706811325907
leave_one_model_out,0.05,rho_only_vs_random,movement_per_drift,19.970383311560816,22.498581482234126,-2.52819817067331,0.002999400119976005,0.005575648355806018
leave_one_model_out,0.05,rho_only_vs_random,regret_vs_oracle,0.8360655737704917,0.9043715846994536,-0.06830601092896182,0.13797240551889622,0.16571484630687805
leave_one_model_out,0.05,rho_only_vs_random,topk_preservation,0.9333333333333332,0.9494535519125682,-0.016120218579234957,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.05,rho_only_vs_highest_entropy,safe_movement_rate,0.16393442622950818,0.02185792349726776,0.14207650273224043,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.05,rho_only_vs_highest_entropy,movement_per_drift,19.970383311560816,12.549220876477817,7.421162435083,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.05,rho_only_vs_highest_entropy,regret_vs_oracle,0.8360655737704917,0.9781420765027322,-0.14207650273224048,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.05,rho_only_vs_highest_entropy,topk_preservation,0.9333333333333332,0.9166666666666666,0.016666666666666607,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.05,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.16393442622950818,0.10382513661202186,0.06010928961748632,0.4761047790441912,0.5054382488431224
leave_one_model_out,0.05,rho_only_vs_highest_fisher_output_energy,movement_per_drift,19.970383311560816,26.16869636927001,-6.198313057709193,0.07898420315936813,0.10197384154293061
leave_one_model_out,0.05,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.8360655737704917,0.8961748633879781,-0.060109289617486406,0.47430513897220555,0.5047237583362187
leave_one_model_out,0.05,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.9333333333333332,0.9576502732240438,-0.024316939890710598,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.1,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.20164609053497942,0.17558299039780523,0.026063100137174194,0.049590081983603276,0.0679399288338051
leave_one_model_out,0.1,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,20.968906991196707,17.989085332877526,2.9798216583191817,0.22275544891021795,0.2532853835324306
leave_one_model_out,0.1,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.7983539094650206,0.8244170096021947,-0.026063100137174056,0.059988002399520096,0.08022276141786569
leave_one_model_out,0.1,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8928669410150891,0.8887517146776406,0.004115226337448541,0.03199360127974405,0.046993879912542086
leave_one_model_out,0.1,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.15775034293552812,0.16323731138545952,-0.005486968449931406,0.0003999200159968006,0.0009003224480731995
