split,fold,budget,policy,test_n,selected_n,safe_movement_rate,safe_varentropy_movement_rate,mean_abs_delta_entropy,mean_abs_delta_varentropy,mean_output_drift,movement_per_drift,top1_preserved_rate,topk_preservation,failure_rate,regret_vs_oracle,minimal_energy_to_target
grouped_example_5fold,fold_0,0.3,lowest_confidence,1485,446.0,0.02914798206278027,0.07623318385650224,0.0199499407073021,0.02641790300022205,0.0013660016676240792,14.604623976778543,0.8071748878923767,0.9641255605381166,0.9708520179372198,0.3183856502242153,0.010710818385650226
grouped_example_5fold,fold_0,0.3,highest_gradient_norm,1485,446.0,0.11883408071748879,0.11210762331838565,0.04431558197171936,0.03747370256910604,0.001804803230570972,24.554245704502407,0.9977578475336323,0.9349775784753364,0.8811659192825112,0.22869955156950672,0.010710818385650226
grouped_example_5fold,fold_0,0.3,highest_fisher_output_energy,1485,446.0,0.11659192825112108,0.1547085201793722,0.037163279044731615,0.0446124450164954,0.0014367809569872617,25.865653956507096,0.9955156950672646,0.9473094170403588,0.8834080717488789,0.23094170403587444,0.010738396860986548
grouped_example_5fold,fold_0,0.3,highest_jacobian_norm,1485,446.0,0.11659192825112108,0.10089686098654709,0.04164876339371072,0.03811618130572369,0.001737098728802524,23.976048513040745,0.9865470852017937,0.9349775784753364,0.8834080717488789,0.23094170403587444,0.010710818385650226
grouped_example_5fold,fold_0,0.3,rho_only,1485,446.0,0.15695067264573992,0.13901345291479822,0.04670683318757136,0.04591068498771055,0.0016037943009282638,29.122708043380502,0.9910313901345291,0.9473094170403588,0.8430493273542601,0.1905829596412556,0.010710818385650226
grouped_example_5fold,fold_0,0.3,shuffled_rho,1485,446.0,0.12556053811659193,0.15022421524663676,0.038372991757997944,0.045054872746210096,0.0017670555943304766,21.715780692535127,0.9461883408071748,0.9517937219730942,0.874439461883408,0.2219730941704036,0.010554596412556056
grouped_example_5fold,fold_0,0.3,within_example_shuffled_rho,1485,446.0,0.10762331838565023,0.1367713004484305,0.03602490498063463,0.04145933272403812,0.0014504496220709604,24.837060475908196,0.9596412556053812,0.9540358744394619,0.8923766816143498,0.2399103139013453,0.010643553811659195
grouped_example_5fold,fold_0,0.3,rho_shuffled_within_entropy_bin,1485,446.0,0.1210762331838565,0.15246636771300448,0.04314773170203074,0.04689622286189095,0.0016947356694074352,25.45985930485393,0.9708520179372198,0.9372197309417041,0.8789237668161435,0.226457399103139,0.010999047085201795
grouped_example_5fold,fold_0,0.3,rho_shuffled_within_varentropy_bin,1485,446.0,0.08744394618834081,0.13452914798206278,0.032120191049101944,0.03554403377683176,0.0013157271390543427,24.412501722954353,0.9484304932735426,0.9562780269058296,0.9125560538116592,0.2600896860986547,0.009548822869955158
grouped_example_5fold,fold_0,0.3,rho_shuffled_within_gradient_bin,1485,446.0,0.10986547085201794,0.13452914798206278,0.03818985087013731,0.04638454501879615,0.0014935086465691,25.570558937082378,0.9708520179372198,0.9573991031390134,0.8901345291479821,0.2376681614349776,0.01019035874439462
grouped_example_5fold,fold_0,0.3,rho_shuffled_within_fisher_bin,1485,446.0,0.11210762331838565,0.13901345291479822,0.03819246034598364,0.046936502027576384,0.0015906308576890847,24.010888611497688,0.9618834080717489,0.952914798206278,0.8878923766816144,0.23542600896860988,0.010817600896860988
grouped_example_5fold,fold_0,0.3,controls_only_learned,1485,446.0,0.16143497757847533,0.15246636771300448,0.0552284075854271,0.053576463012521156,0.0019496897798171881,28.326766728297446,1.0,0.9091928251121076,0.8385650224215246,0.1860986547085202,0.010710818385650226
grouped_example_5fold,fold_0,0.3,controls_plus_rho_learned,1485,446.0,0.17040358744394618,0.15246636771300448,0.056396162817178644,0.053225138772837355,0.00195892916278877,28.789281352518106,1.0,0.9136771300448431,0.8295964125560538,0.17713004484304934,0.010710818385650226
grouped_example_5fold,fold_0,0.3,gradient_only_learned,1485,446.0,0.11883408071748879,0.11210762331838565,0.04431558197171936,0.03747370256910604,0.001804803230570972,24.554245704502407,0.9977578475336323,0.9349775784753364,0.8811659192825112,0.22869955156950672,0.010710818385650226
grouped_example_5fold,fold_0,0.3,gradient_plus_rho_learned,1485,446.0,0.1547085201793722,0.13452914798206278,0.0490622868394289,0.04583130605571743,0.0018217579885429207,26.93128678341623,0.9910313901345291,0.9417040358744395,0.8452914798206278,0.19282511210762332,0.010710818385650226
