model,prompt_id,task,topic,layer,subspace_family,subspace_k,top_k_output,direction,sign,epsilon,rho,abs_delta_entropy,abs_delta_varentropy,directional_success,selected_top1_changed,top5_jaccard,full_vocab_top5_jaccard,full_vocab_top10_jaccard,selected_kl_before_after,candidate_set_kl,candidate_mass_retention_ratio,cluster_distribution_l1,embedding_centroid_delta_norm
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,64,random_control,increase,0.05,0.2272494550168176,0.0001071251655928,0.0017878152552002,1,0,1.0,1.0,1.0,0.0012547899488543,0.0012547902339352,0.9836157026976488,0.0177522201578397,0.0088526815560255
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,64,random_control,decrease,0.05,0.2272494550168176,0.0017612535250548,0.0030420096587346,1,0,1.0,1.0,0.8181818181818182,0.0012442551813452,0.0012442554673064,1.0145871256393906,0.0178898810850679,0.0089919073685799
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,64,accessible_ls,increase,0.05,0.2031723916751565,0.01626555574351,0.0531081486467681,1,0,1.0,1.0,1.0,0.0012448258853757,0.0012448263389878,1.003398625550768,0.0152692630977121,0.0120019942856889
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,64,accessible_ls,decrease,0.05,0.2031723916751565,0.0191967462698583,0.0601641057440593,1,0,1.0,1.0,0.8181818181818182,0.0012538086384007,0.0012538089513788,0.9967071119986504,0.0159281828189447,0.0123676869466557
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,64,grad_orthogonal_control,increase,0.05,0.2031723916751565,0.0009522936554371,0.0009093254326991,0,0,1.0,1.0,0.8181818181818182,0.001236077481705,0.0012360774311679,0.9935837264694034,0.0140479575032102,0.0096123610172347
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,64,grad_orthogonal_control,decrease,0.05,0.2031723916751565,0.0009957587978446,0.0032708207533012,1,0,1.0,1.0,0.8181818181818182,0.0012623619180269,0.0012623617331737,1.0039602815229205,0.0135871231437053,0.0097463474094824
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,64,random_control,increase,0.05,0.2031723916751565,0.0030391430420921,0.0100579122427308,1,0,1.0,1.0,1.0,0.0012506640719559,0.0012506643924863,1.003487801013324,0.0059997117995372,0.0092139587455426
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,64,random_control,decrease,0.05,0.2031723916751565,0.0050968057099507,0.0128910798979131,1,0,1.0,1.0,1.0,0.0012488827803922,0.0012488828624121,0.9950552006594372,0.0056900425638587,0.0091542426795692
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,128,accessible_ls,increase,0.05,0.1948382373566201,0.0162195409161958,0.0565599786494934,1,0,1.0,1.0,0.8181818181818182,0.0012366238254292,0.0012366243630187,0.9944732851384138,0.0108867530715331,0.0097695597344999
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,128,accessible_ls,decrease,0.05,0.1948382373566201,0.0197566620109688,0.0663802311411918,1,0,1.0,1.0,0.8181818181818182,0.001262727462879,0.001262727668834,1.0054233098419858,0.0118676037071064,0.0102158691450975
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,128,grad_orthogonal_control,increase,0.05,0.1948382373566201,0.0008930298256393,0.0043483670139194,0,0,1.0,1.0,1.0,0.0012330638553582,0.001233064198343,1.0153502583544678,0.0103849925622291,0.0062120308570634
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,128,grad_orthogonal_control,decrease,0.05,0.1948382373566201,0.0009055927725762,0.0065016090953412,1,0,1.0,1.0,1.0,0.0012664586798194,0.0012664587662472,0.983329187730511,0.0100163663622291,0.0062290868351191
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,128,random_control,increase,0.05,0.1948382373566201,0.0013742597088102,9.901693904645904e-05,1,0,1.0,1.0,1.0,0.0012227550268161,0.0012227556943856,0.9988756662142936,0.0122130212526069,0.0074217542004449
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,128,random_control,decrease,0.05,0.1948382373566201,0.0042010061168111,0.0066602907901615,1,0,1.0,1.0,0.8181818181818182,0.0012782098952417,0.001278210273068,1.0005850772635612,0.0130020889595982,0.0080208756170337
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,128,accessible_ls,increase,0.05,0.1190562876532756,0.0128054963702073,0.0480452655802198,1,0,1.0,1.0,0.8181818181818182,0.0012588950178165,0.0012588951046412,0.9797055910594912,0.0051438125171391,0.0077562522950228
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,128,accessible_ls,decrease,0.05,0.1190562876532756,0.0152430706697623,0.0528856413288155,1,0,1.0,1.0,0.8181818181818182,0.0012398543086551,0.001239854514906,1.0188590079372506,0.0045765716440208,0.0077436622388891
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,128,grad_orthogonal_control,increase,0.05,0.1190562876532756,0.0008794739535682,0.0025973049338867,0,0,1.0,1.0,0.8181818181818182,0.0012688764380267,0.0012688771016173,0.9987168372985628,0.0046457278458065,0.0065101514827006
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,128,grad_orthogonal_control,decrease,0.05,0.1190562876532756,0.0008149093393576,0.0037670773963915,1,0,1.0,1.0,1.0,0.0012305664456145,0.0012305662211911,0.9999231823168528,0.0040967925901148,0.0062014923907452
