model,task,layer,subspace_family,k,sign,n,directional_rate,monotonic_abs_rate,entropy_slope_mean
distilbert-base-uncased,factual_simple,2,delta_pca,1,decrease,9,1.0,1.0,-0.4284741205641695
distilbert-base-uncased,factual_simple,2,delta_pca,1,increase,9,0.7777777777777778,0.8888888888888888,0.3483707440922119
distilbert-base-uncased,factual_simple,2,delta_pca,4,decrease,9,1.0,1.0,-0.6306663209976263
distilbert-base-uncased,factual_simple,2,delta_pca,4,increase,9,1.0,1.0,0.5204932214118025
distilbert-base-uncased,factual_simple,2,delta_pca,8,decrease,9,1.0,1.0,-0.6955463545406998
distilbert-base-uncased,factual_simple,2,delta_pca,8,increase,9,1.0,1.0,0.6053575441097665
distilbert-base-uncased,factual_simple,2,random,1,decrease,9,1.0,0.5555555555555556,-0.2855242737816676
distilbert-base-uncased,factual_simple,2,random,1,increase,9,0.6666666666666666,0.2222222222222222,0.221377337132143
distilbert-base-uncased,factual_simple,2,random,4,decrease,9,1.0,0.3333333333333333,-0.554006432654996
distilbert-base-uncased,factual_simple,2,random,4,increase,9,1.0,0.3333333333333333,0.4759775708880239
distilbert-base-uncased,factual_simple,2,random,8,decrease,9,1.0,0.2222222222222222,-0.6940983551551846
distilbert-base-uncased,factual_simple,2,random,8,increase,9,1.0,0.1111111111111111,0.5991709449155649
distilbert-base-uncased,factual_simple,2,state_pca,1,decrease,9,1.0,1.0,-0.5009947458956863
distilbert-base-uncased,factual_simple,2,state_pca,1,increase,9,0.8888888888888888,1.0,0.4094574688462314
distilbert-base-uncased,factual_simple,2,state_pca,4,decrease,9,1.0,1.0,-0.6334202110920532
distilbert-base-uncased,factual_simple,2,state_pca,4,increase,9,1.0,1.0,0.5250193437807031
distilbert-base-uncased,factual_simple,2,state_pca,8,decrease,9,1.0,1.0,-0.7160579565622035
distilbert-base-uncased,factual_simple,2,state_pca,8,increase,9,1.0,1.0,0.6193593341539692
distilbert-base-uncased,factual_simple,4,delta_pca,1,decrease,9,1.0,1.0,-0.1618397589829441
distilbert-base-uncased,factual_simple,4,delta_pca,1,increase,9,0.6666666666666666,0.8888888888888888,0.06671643187041593
distilbert-base-uncased,factual_simple,4,delta_pca,4,decrease,9,1.0,1.0,-0.3871213242341752
distilbert-base-uncased,factual_simple,4,delta_pca,4,increase,9,1.0,1.0,0.3065720701914956
distilbert-base-uncased,factual_simple,4,delta_pca,8,decrease,9,1.0,1.0,-0.4844578434383713
distilbert-base-uncased,factual_simple,4,delta_pca,8,increase,9,1.0,1.0,0.39984457738991125
distilbert-base-uncased,factual_simple,4,random,1,decrease,9,1.0,0.0,-0.22089854086563504
distilbert-base-uncased,factual_simple,4,random,1,increase,9,0.7777777777777778,0.0,0.11601349071863974
distilbert-base-uncased,factual_simple,4,random,4,decrease,9,1.0,0.5555555555555556,-0.36268177699904725
distilbert-base-uncased,factual_simple,4,random,4,increase,9,1.0,0.5555555555555556,0.2698208021078087
distilbert-base-uncased,factual_simple,4,random,8,decrease,9,1.0,0.3333333333333333,-0.4938546414931321
distilbert-base-uncased,factual_simple,4,random,8,increase,9,1.0,0.5555555555555556,0.3972599303226699
distilbert-base-uncased,factual_simple,4,state_pca,1,decrease,9,1.0,1.0,-0.18413474635339572
distilbert-base-uncased,factual_simple,4,state_pca,1,increase,9,0.6666666666666666,0.8888888888888888,0.06883859548564762
distilbert-base-uncased,factual_simple,4,state_pca,4,decrease,9,1.0,1.0,-0.3859871381011965
distilbert-base-uncased,factual_simple,4,state_pca,4,increase,9,1.0,1.0,0.28804432320115325
distilbert-base-uncased,factual_simple,4,state_pca,8,decrease,9,1.0,1.0,-0.47850338806654286
distilbert-base-uncased,factual_simple,4,state_pca,8,increase,9,1.0,1.0,0.3952715201184636
distilbert-base-uncased,factual_simple,6,delta_pca,1,decrease,9,0.8888888888888888,0.8888888888888888,-0.10383034118745695
distilbert-base-uncased,factual_simple,6,delta_pca,1,increase,9,1.0,1.0,0.565384836889319
distilbert-base-uncased,factual_simple,6,delta_pca,4,decrease,9,0.8888888888888888,0.8888888888888888,-0.5140447217395128
distilbert-base-uncased,factual_simple,6,delta_pca,4,increase,9,1.0,1.0,0.8219240542049288
distilbert-base-uncased,factual_simple,6,delta_pca,8,decrease,9,1.0,0.8888888888888888,-0.5460005176865261
distilbert-base-uncased,factual_simple,6,delta_pca,8,increase,9,1.0,1.0,1.0461032999221846
distilbert-base-uncased,factual_simple,6,random,1,decrease,9,0.7777777777777778,0.1111111111111111,-0.17716728961072745
distilbert-base-uncased,factual_simple,6,random,1,increase,9,1.0,0.1111111111111111,0.3658359746049701
distilbert-base-uncased,factual_simple,6,random,4,decrease,9,1.0,0.4444444444444444,-0.5622834099214339
distilbert-base-uncased,factual_simple,6,random,4,increase,9,1.0,0.4444444444444444,0.7700741881804674
distilbert-base-uncased,factual_simple,6,random,8,decrease,9,0.8888888888888888,0.3333333333333333,-0.3989240939605298
distilbert-base-uncased,factual_simple,6,random,8,increase,9,1.0,0.1111111111111111,1.2160758125457065
distilbert-base-uncased,factual_simple,6,state_pca,1,decrease,9,0.8888888888888888,0.8888888888888888,-0.18728751446697955
distilbert-base-uncased,factual_simple,6,state_pca,1,increase,9,1.0,1.0,0.28639862607834743
distilbert-base-uncased,factual_simple,6,state_pca,4,decrease,9,1.0,0.8888888888888888,-0.4858688234796745
distilbert-base-uncased,factual_simple,6,state_pca,4,increase,9,1.0,1.0,0.9421965332878772
distilbert-base-uncased,factual_simple,6,state_pca,8,decrease,9,1.0,1.0,-0.7452589355587192
distilbert-base-uncased,factual_simple,6,state_pca,8,increase,9,1.0,1.0,1.6952257535769697
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,1,delta_pca,1,decrease,12,1.0,1.0,-0.17193770293216046
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,1,delta_pca,1,increase,12,0.75,0.8333333333333334,0.0775841553601933
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,1,delta_pca,4,decrease,12,1.0,1.0,-0.3295361242645417
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,1,delta_pca,4,increase,12,1.0,1.0,0.23764934060815054
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,1,delta_pca,8,decrease,12,1.0,1.0,-0.4635913694492888
