model,item_id,task_type,layer,route,rho,rank,objective,correct,confidence,outcome_group
Qwen/Qwen2.5-0.5B,18,commonsense,12,state_pca,0.010153580101255161,1,decrease_wrong_confidence,1,0.9127830924127549,correct_unassigned
Qwen/Qwen2.5-0.5B,18,commonsense,12,delta_pca,0.6283080523604436,1,decrease_wrong_confidence,1,0.9127830924127549,correct_unassigned
Qwen/Qwen2.5-0.5B,18,commonsense,12,random,0.48473754176960926,1,decrease_wrong_confidence,1,0.9127830924127549,correct_unassigned
Qwen/Qwen2.5-0.5B,18,commonsense,23,state_pca,0.6533882095891501,1,increase_correct_confidence,1,0.9127830924127549,correct_unassigned
Qwen/Qwen2.5-0.5B,18,commonsense,23,delta_pca,0.7628218078891679,1,increase_correct_confidence,1,0.9127830924127549,correct_unassigned
Qwen/Qwen2.5-0.5B,18,commonsense,23,random,0.8891501750356733,1,increase_correct_confidence,1,0.9127830924127549,correct_unassigned
Qwen/Qwen2.5-0.5B,19,logic,12,state_pca,0.060596967776280465,1,decrease_wrong_confidence,1,0.4253806817199974,correct_unassigned
Qwen/Qwen2.5-0.5B,19,logic,12,delta_pca,0.31621324909748216,1,decrease_wrong_confidence,1,0.4253806817199974,correct_unassigned
Qwen/Qwen2.5-0.5B,19,logic,12,random,0.6846663052209522,1,decrease_wrong_confidence,1,0.4253806817199974,correct_unassigned
Qwen/Qwen2.5-0.5B,19,logic,23,state_pca,0.2096744638355673,1,increase_correct_confidence,1,0.4253806817199974,correct_unassigned
Qwen/Qwen2.5-0.5B,19,logic,23,delta_pca,0.7384475321806604,1,increase_correct_confidence,1,0.4253806817199974,correct_unassigned
Qwen/Qwen2.5-0.5B,19,logic,23,random,0.7965960495125297,1,increase_correct_confidence,1,0.4253806817199974,correct_unassigned
Qwen/Qwen2.5-0.5B,20,logic,12,state_pca,0.007321349452652557,1,decrease_wrong_confidence,1,0.9328029225956495,correct_unassigned
Qwen/Qwen2.5-0.5B,20,logic,12,delta_pca,0.9711906541439188,1,decrease_wrong_confidence,1,0.9328029225956495,correct_unassigned
Qwen/Qwen2.5-0.5B,20,logic,12,random,0.4761674666280337,1,decrease_wrong_confidence,1,0.9328029225956495,correct_unassigned
Qwen/Qwen2.5-0.5B,20,logic,23,state_pca,0.9911170072916445,1,increase_correct_confidence,1,0.9328029225956495,correct_unassigned
Qwen/Qwen2.5-0.5B,20,logic,23,delta_pca,0.9158416940746266,1,increase_correct_confidence,1,0.9328029225956495,correct_unassigned
Qwen/Qwen2.5-0.5B,20,logic,23,random,0.7787085188446785,1,increase_correct_confidence,1,0.9328029225956495,correct_unassigned
Qwen/Qwen2.5-0.5B,21,logic,12,state_pca,0.12779904428296404,1,decrease_wrong_confidence,1,0.4287439591486492,correct_unassigned
