prompt_id,layer,subspace,observed_condition,topic,fact_id,template_id,entropy_topk,varentropy_topk,top1_prob_topk_layer,rho_fisher,accessible_varentropy,trace_fim,grad_norm_sq,rho_euclidean,rho_shuffled_u,rho_random_u,rho_matched_random_trace,matched_random_trace_gap,matched_random_trace_fim,rho_high_trace_random,high_trace_random_trace_fim
179,1,state_1d,error,continent,continent:nigeria,t1,3.4275973806398694,0.0880199953796712,0.07086363296191275,0.000978536578394663,8.613078510913751e-05,0.0005405334160845386,4.6556567505084055e-08,0.09096978697800236,0.022670583467263396,0.045283993551117216,,,,,
179,1,delta_1d,error,continent,continent:nigeria,t1,3.4275973806398694,0.0880199953796712,0.07086363296191275,0.023299116167019473,0.0020507880973714768,0.03836944790274612,7.868760706166655e-05,0.0026068014451707602,0.20977835760194488,0.024158219317869215,0.15137076169308478,0.0011456803017319134,0.039515128204478035,0.002685500859880628,0.10307382891105774
179,2,state_1d,error,continent,continent:nigeria,t1,3.2124393194778933,0.5971330988357397,0.16599054279710418,0.01684178544507258,0.01005678753274285,0.0002956942322659689,2.9737340685563926e-06,0.2755942253128483,0.01725185393297232,0.05270475547004501,,,,,
179,2,delta_1d,error,continent,continent:nigeria,t1,3.2124393194778933,0.5971330988357397,0.16599054279710418,0.012178255655588026,0.00727203953803515,0.018338502820284285,0.0001333583175774756,0.34318860698478,0.002217703323521164,0.020028034549401143,0.01046590229127576,0.0028754378503672157,0.0212139406706515,0.2779655248854062,0.08644532195509147
179,3,state_1d,error,continent,continent:nigeria,t1,2.8566946548727015,1.7472536418816658,0.3416061196352086,0.14891185307025062,0.2601867775963429,0.00014011292393434344,3.6455530178078356e-05,0.0006450281801937596,0.05114723443862801,0.0005990568307315972,,,,,
179,3,delta_1d,error,continent,continent:nigeria,t1,2.8566946548727015,1.7472536418816658,0.3416061196352086,0.029821467229369382,0.0521056672227704,0.006767447678308717,0.00035262237667346474,0.02355096178672498,0.006036154049632812,0.006353668667829726,0.11644348678922106,0.002878431602343038,0.009645879280651755,0.38605250969779903,0.04528214872257113
179,4,state_1d,error,continent,continent:nigeria,t1,2.798375520250657,1.770963911689259,0.3432029002887245,0.08975506233269018,0.15895297628261426,7.330049595946274e-05,1.1651331995748337e-05,0.31615879895360327,0.06595163533533462,3.1119886071534184e-05,,,,,
179,4,delta_1d,error,continent,continent:nigeria,t1,2.798375520250657,1.770963911689259,0.3432029002887245,0.2494943263692718,0.44184544817120225,0.008903080712071031,0.00393378568732941,0.03178672519924239,0.012681218257576465,3.528063158155318e-05,0.11058772716744023,1.1574718858682956e-05,0.008914655430929714,0.7286635656654818,0.03715660037489258
179,5,state_1d,error,continent,continent:nigeria,t1,3.101127747969853,0.8311198776223425,0.18965117285006194,0.01647096355816516,0.013689345216784292,0.00011591606382337793,1.586815013849028e-06,0.056127945647868174,0.0041324998305479485,0.05592282812957236,,,,,
179,5,delta_1d,error,continent,continent:nigeria,t1,3.101127747969853,0.8311198776223425,0.18965117285006194,0.009320722797520655,0.007746637990827145,0.016703500782338156,0.00012939597374027293,0.03881189709858689,0.02190058907297282,3.7109004996749795e-06,0.10668952859799642,0.00037841826468773543,0.01708191904702589,0.30113515260835433,0.022378532837310602
179,6,state_1d,error,continent,continent:nigeria,t1,2.1820429831926784,2.104027746610064,0.41305585280820284,0.8213947475556592,1.728237339776876,0.0030435347752841126,0.005259950443555395,0.6713384737922617,0.2010527253787361,0.26537642526230937,,,,,
179,6,delta_1d,error,continent,continent:nigeria,t1,2.1820429831926784,2.104027746610064,0.41305585280820284,0.2479295843756956,0.5216507247319645,0.01207172967260765,0.006297226532484148,0.11446724609429905,0.13925126614793704,0.0303747774792668,0.07042511525499334,0.0009844176767836305,0.01108731199582402,0.07100549612685052,0.14350526014132212
180,0,state_1d,error,continent,continent:ghana,t0,3.3518614054824205,0.2529394906267724,0.09364293854442371,0.05858821706022293,0.014819273779943564,0.003227216826086356,4.7825009693016237e-05,0.18977734780121586,0.0476609242833081,0.0022421181954106893,,,,,
180,1,state_1d,error,continent,continent:ghana,t0,3.307450351011096,0.36724395332355986,0.11141923837312455,0.2022304775914501,0.07426792007319571,0.0007179383204473965,5.331978580047149e-05,0.18770466790929483,0.10295253920427279,0.034562928197276244,,,,,
180,1,delta_1d,error,continent,continent:ghana,t0,3.307450351011096,0.36724395332355986,0.11141923837312455,0.025664699884116758,0.009425205846305747,0.012140901922715584,0.00011443049978140376,0.05693262782317379,0.03283373810889492,0.0290827049542519,0.15547087742714447,0.010620274859055468,0.02276117678177105,0.055959110302521875,0.09143371604745891
